Título,Precio,NRO_HABITACIONES,NRO_BAÑOS,METROS_CUADRADOS,BARRIO,CIUDAD,DEPARTAMENTO
Casa en venta,998000000 pesos,3,3,192,El Poblado,Medellín,Antioquia
Casa en venta,410000000 pesos,4,3,115,Belén Los Alpes,Medellín,Antioquia
Casa en venta,360000000 pesos,4,2,104,Medellín,Antioquia,No disponible
Casa en venta,275000000 pesos,3,No disponible,108,Carrera 103 45,San Javier,Medellín
Casa en venta,1399000000 pesos,5,6,223,Cra. 30 #16b-61,Altos Del Poblado,Medellín
Casa en venta,1500000000 pesos,6,5,204,Laureles Medellin Antioquia,Medellín,Antioquia
Casa en venta,630000000 pesos,3,2,133,Campo Amor,Medellín,Antioquia
Casa en venta,1580000000 pesos,6,5,250,Belén Rosales,Medellín,Antioquia
Casa en venta,1420000000 pesos,4,5,255,12 Sur  22,Los Balsos,Medellín
Casa en venta,8200000000 pesos,19,11,1.100,AGUACATALA,Aguacatala,Medellín
Casa en venta,3500000000 pesos,3,4,432,Poblado Alto De Las Palmas,Medellín,Antioquia
Casa en venta,800000000 pesos,4,3,150,Belén La Palma,Medellín,Antioquia
Casa en venta,929000000 pesos,4,4,197,Cl. 1b Sur #29c-70,El Poblado,Medellín
Casa en venta,6500000000 pesos,4,5,700,El Poblado,Medellín,Antioquia
Casa en venta,880000000 pesos,4,4,180,Santa Mónica,Medellín,Antioquia
Casa en venta,920000000 pesos,4,4,288,Belen- Loma Bernal,Medellín,Antioquia
Casa en venta,2200000000 pesos,4,5,368,Poblado Transversal Superior,Medellín,Antioquia
Casa en venta,1600000000 pesos,3,4,285,El Poblado,Medellín,Antioquia
Casa en venta,550000000 pesos,14,2,305,Cementerio San Pedro,Medellín,Antioquia
Casa en venta,5200000000 pesos,4,5,650,Colombia / Antioquia / Envigado / Loma El Escobero,Medellín,Antioquia
Casa en venta,1150000000 pesos,4,3,220,Carrera 65 A  # 32 B 60,Belén Fátima,Medellín
Casa en venta,4900000000 pesos,4,5,648,Colombia / Antioquia / Envigado / Loma El Escobero,Medellín,Antioquia
Casa en venta,630000000 pesos,3,3,96,Calasanz,Medellín,Antioquia
Casa en venta,3500000000 pesos,9,10,700,Santafé De Antioquia,Medellín,Antioquia
Casa en venta,1650000000 pesos,5,6,390,El Poblado,Medellín,Antioquia
Casa en venta,1650000000 pesos,4,5,390,Poblado El Tesoro,Medellín,Antioquia
Casa en venta,2500000000 pesos,3,4,310,El Poblado,Medellín,Antioquia
Casa en venta,3300000000 pesos,4,6,400,Las Palmas,Medellín,Antioquia
Casa en venta,2600000000 pesos,5,6,581,Poblado El Tesoro,Medellín,Antioquia
Casa en venta,750000000 pesos,4,2,170,Avenida Guayabal,Campo Amor,Medellín
Casa en venta,850000000 pesos,3,2,185,Calasanz,Medellín,Antioquia
Casa en venta,860000000 pesos,4,2,161,Calasanz Parte Baja,Medellín,Antioquia
Casa en venta,2490000000 pesos,3,4,310,El Poblado,Medellín,Antioquia
Casa en venta,670000000 pesos,3,2,90,La Mota,Medellín,Antioquia
Casa en venta,170000000 pesos,3,No disponible,64,Castilla,Medellín,Antioquia
Casa en venta,580000000 pesos,3,2,80,Calasanz,Medellín,Antioquia
Casa en venta,1620000000 pesos,4,5,320,Poblado La Visitación,Medellín,Antioquia
Casa en venta,650000000 pesos,3,2,134,Velódromo,Medellín,Antioquia
Casa en venta,2100000000 pesos,3,5,440,Loma Del Zorro,Poblado,Medellín
Casa en venta,398000000 pesos,4,2,81,Robledo,Medellín,Antioquia
Casa en venta,1530000000 pesos,3,4,238,El Poblado,Medellín,Antioquia
Casa en venta,1150000000 pesos,5,4,225,Estadio,Medellín,Antioquia
Casa en venta,900000000 pesos,4,4,233,Loa Colores,Medellín,Antioquia
Casa en venta,3550000000 pesos,5,5,650,Poblado Sector La Toja,Medellín,Antioquia
Casa en venta,3000000000 pesos,5,3,470,Colombia / Antioquia / Las Palmas,Medellín,Antioquia
Casa en venta,540000000 pesos,4,3,112,La Mota,Medellín,Antioquia
Casa en venta,1150000000 pesos,4,5,227,El Poblado,Medellín,Antioquia
Casa en venta,790000000 pesos,6,6,160,San Germán,Medellín,Antioquia
